t,rpm,throttle,gear,boost,speed
0.018523693084716797,612.0,0.0,1,0.0,0.0
0.04162788391113281,473.76,0.0,1,0.0,0.0
0.05971860885620117,407.40479999999997,0.0,1,0.0,0.0
0.07677721977233887,375.554304,0.0,1,0.0,0.0
0.09480834007263184,360.26606592,0.0,1,0.0,0.0
0.1129002571105957,352.9277116416,0.0,1,0.0,0.0
0.1289677619934082,349.405301587968,0.0,1,0.0,0.0
0.14649081230163574,347.71454476222465,0.0,1,0.0,0.0
0.1635150909423828,346.9029814858678,0.0,1,0.0,0.0
0.18051457405090332,346.51343111321654,0.0,1,0.0,0.0
0.19606423377990723,346.32644693434395,0.0,1,0.0,0.0
0.2140645980834961,346.23669452848515,0.0,1,0.0,0.0
0.23111844062805176,346.19361337367286,0.0,1,0.0,0.0
0.24817228317260742,346.17293441936295,0.0,1,0.0,0.0
0.26471805572509766,346.16300852129416,0.0,1,0.0,0.0
0.28077244758605957,346.15824409022116,0.0,1,0.0,0.0
0.2977890968322754,346.15595716330614,0.0,1,0.0,0.0
0.31433558464050293,346.15485943838695,0.0,1,0.0,0.0
0.33141350746154785,346.15433253042573,0.0,1,0.0,0.0
0.34844970703125,346.15407961460437,0.0,1,0.0,0.0
0.3661365509033203,346.1539582150101,0.0,1,0.0,0.0
0.38327813148498535,346.15389994320486,0.0,1,0.0,0.0
0.3988533020019531,346.15387197273833,0.0,1,0.0,0.0
0.4156014919281006,346.1538585469144,0.0,1,0.0,0.0
0.43270063400268555,346.15385210251895,0.0,1,0.0,0.0
0.4484701156616211,346.1538490092091,0.0,1,0.0,0.0
0.4661555290222168,346.15384752442037,0.0,1,0.0,0.0
0.48168134689331055,346.1538468117218,0.0,1,0.0,0.0
0.49873828887939453,346.15384646962644,0.0,1,0.0,0.0
0.5165348052978516,346.1538463054207,0.0,1,0.0,0.0
0.5320305824279785,346.1538462266019,0.0,1,0.0,0.0
0.5490789413452148,346.1538461887689,0.0,1,0.0,0.0
0.5661768913269043,346.1538461706091,0.0,1,0.0,0.0
0.5816953182220459,346.1538461618924,0.0,1,0.0,0.0
0.5989372730255127,346.15384615770836,0.0,1,0.0,0.0
0.6147470474243164,346.1538461557,0.0,1,0.0,0.0
0.6322779655456543,346.153846154736,0.0,1,0.0,0.0
0.6492962837219238,346.1538461542733,0.0,1,0.0,0.0
0.6648166179656982,346.15384615405117,0.0,1,0.0,0.0
0.6808567047119141,346.1538461539445,0.0,1,0.0,0.0
0.696892499923706,346.15384615389337,0.0,1,0.0,0.0
0.7134041786193848,346.1538461538688,0.0,1,0.0,0.0
0.7284390926361084,346.15384615385705,0.0,1,0.0,0.0
0.7449603080749512,346.1538461538514,0.0,1,0.0,0.0
0.7600007057189941,346.1538461538487,0.0,1,0.0,0.0
0.7780349254608154,346.1538461538474,0.0,1,0.0,0.0
0.7950513362884521,346.15384615384676,0.0,1,0.0,0.0
0.8105826377868652,346.1538461538464,0.0,1,0.0,0.0
0.8261532783508301,346.1538461538463,0.0,1,0.0,0.0
0.8446779251098633,346.1538461538462,0.0,1,0.0,0.0
0.8616933822631836,346.1538461538462,0.0,1,0.0,0.0
0.876739501953125,346.1538461538462,0.0,1,0.0,0.0
0.8947582244873047,346.1538461538462,0.0,1,0.0,0.0
0.9092881679534912,346.1538461538462,0.0,1,0.0,0.0
0.9273197650909424,346.1538461538462,0.0,1,0.0,0.0
0.9433503150939941,346.1538461538462,0.0,1,0.0,0.0
0.9593856334686279,346.1538461538462,0.0,1,0.0,0.0
0.9754133224487305,346.1538461538462,0.0,1,0.0,0.0
0.9920592308044434,346.1538461538462,0.0,1,0.0,0.0
1.0089213848114014,346.1538461538462,0.0,1,0.0,0.0
1.02549409866333,346.1538461538462,0.0,1,0.0,0.0
1.0401568412780762,346.1538461538462,0.0,1,0.0,0.0
1.056396722793579,346.1538461538462,0.0,1,0.0,0.0
1.0745956897735596,346.1538461538462,0.0,1,0.0,0.0
1.0901284217834473,346.1538461538462,0.0,1,0.0,0.0
1.107297658920288,346.1538461538462,0.0,1,0.0,0.0
1.1226484775543213,346.1538461538462,0.0,1,0.0,0.0
1.1401782035827637,346.1538461538462,0.0,1,0.0,0.0
